Victim Architecture,ResNet-18,Resnet-34,ResNet-50,ResNet-101,ViT-S/16,ViT-B/16,ViT-L/16
Victim Acc,80.85,81.96,80.24,84.64,86.29,94.12,97.78
ResNet-34,64.53,67.63,61.84,62.90,67.59,66.66,66.56
ViT-B/16,73.36,75.95,65.56,76.97,81.93,92.27,89.44
ViT-L/16,73.20,77.85,71.56,75.39,82.31,91.10,94.28
ViT-B/16 CLIP,77.12,75.75,70.51,77.72,79.71,85,78.35
