Victim Architecture,ResNet-18,Resnet-34,ResNet-50,ResNet-101,ViT-S/16,ViT-B/16
Victim Acc,75.50,78.73,81.64,82.61,87.01,86.19
ResNet-34,39.85,41.19,36.19,37.09,31.79,28.88
ResNet-101,45.22,44.93,51.04,53.06,44.03,43.43
ViT-B/16,43.35,42.39,50.45,48.05,54.48,55.60
ViT-L/16,41.27,41.42,48.28,49.48,55.97,53.96
ViT-B/16 CLIP,37.09,42.46,49.10,50.75,52.7611,48.96
