Victim Architecture,ResNet-18,Resnet-34,ResNet-50,ResNet-101,ViT-S/16,ViT-B/16,ViT-L/16
Victim Acc,67.75,74.36,58.47,74.78,84.78,87.67,94.13
ResNet-34,46.83,51.17,44.98,42.92,43.05,38.89,35.42
ViT-B/16,49.55,54.17,51.45,58.31,54.28,60.11,59.28
ViT-L/16,46.23,52.39,44.80,56.75,54.22,54.72,62.94
ViT-B/16 CLIP,52.41,55.69,55.45,64.61,57.14,57.22,58.45
