Victim Architecture,ResNet-18,Resnet-34,ResNet-50,ResNet-101,ViT-S/16,ViT-B/16
Victim Acc,76.78,81.39,86.00,88.70,93.44,95.14
ResNet-34,50.39,55.58,51.44,47.05,39.02,37.08
ResNet-101,50.39,55.58,51.44,47.05,39.02,37.08
ViT-B/16,48.70,54.89,61.95,63.53,64.08,63.60
ViT-L/16,44.58,52.78,60.23,61.67,62.25,56.98
ViT-B/16 CLIP,50.05,57.03,61.94,66.5469,63.8594,60.2031
